ID,Name,Team,Number,Birth Year,Birth Month,Birth Day,Position,Pitching Hand,Underhand,Batting Hand,Height (cm),Weight (kg),Career,Contract Payment,Payment Unit,Salary,Salary Unit,Draft Year,Draft Team,Draft Detail,Joined Year,Joined Team,Data Errors
10005,차영화,KIA 타이거즈,82.0,1957.0,6.0,27.0,,Right,False,Right,178.0,82.0,서림초-전남중-광주제일고-동신전문대-해태,,,9300.0,만원,,,,82.0,해태,"Contract Payment (14, 15):    Draft (18, 19, 20):    "
10082,황태환,OB 베어스,,1952.0,8.0,6.0,Pitcher,Left,False,Left,0.0,0.0,한양대,,,,,,,,82.0,OB,"Number (3):    Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    "
10182,황기선,OB 베어스,,1958.0,6.0,2.0,Pitcher,Right,False,Right,0.0,0.0,유한공고,,,,,,,,83.0,해태,"Number (3):    Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    "
20001,우용득,롯데 자이언츠,89.0,1950.0,2.0,13.0,,Right,False,Right,172.0,83.0,대구상고-삼성,,,7500.0,만원,,,,83.0,삼성,"Contract Payment (14, 15):    Draft (18, 19, 20):    "
20002,조창수,SK 와이번스,,1900.0,1.0,1.0,,,False,,0.0,0.0,,,,,,,,,2.0,SK코치,"Number (3):    Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    "
20003,김광현,한국,29.0,1988.0,7.0,22.0,Pitcher,Left,False,Left,188.0,88.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20006,김상수,한국,7.0,1990.0,3.0,23.0,Infielder,Right,False,Right,175.0,68.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20007,김재호,한국,52.0,1985.0,3.0,21.0,Infielder,Right,False,Right,181.0,75.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20010,김현수,한국,50.0,1988.0,1.0,12.0,Outfielder,Right,False,Left,188.0,100.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20011,나성범,한국,17.0,1989.0,10.0,3.0,Outfielder,Left,False,Left,183.0,100.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20013,민병헌,한국,49.0,1989.0,3.0,10.0,Outfielder,Right,False,Right,178.0,78.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20014,박병호,한국,3.0,1986.0,7.0,10.0,Infielder,Right,False,Right,185.0,107.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20016,손아섭,한국,31.0,1988.0,3.0,18.0,Outfielder,Right,False,Left,174.0,88.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20018,심창민,한국,55.0,1993.0,2.0,1.0,Pitcher,Right,True,Right,185.0,86.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20020,양의지,한국,25.0,1987.0,6.0,5.0,Catcher,Right,False,Right,179.0,85.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20022,오재원,한국,24.0,1985.0,2.0,9.0,Infielder,Right,False,Left,185.0,80.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20023,우규민,한국,22.0,1985.0,1.0,21.0,Pitcher,Right,False,Right,184.0,75.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20024,이대은,한국,11.0,1989.0,3.0,23.0,Pitcher,Right,False,Left,189.0,90.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20025,이대호,한국,10.0,1982.0,6.0,21.0,Infielder,Right,False,Right,194.0,130.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20026,이용규,한국,15.0,1985.0,8.0,26.0,Outfielder,Left,False,Left,175.0,70.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20027,이태양,한국,19.0,1993.0,1.0,28.0,Pitcher,Right,False,Left,183.0,82.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20028,이현승,한국,48.0,1983.0,10.0,11.0,Pitcher,Left,False,Left,179.0,87.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20029,임창민,한국,45.0,1985.0,8.0,25.0,Pitcher,Right,False,Right,183.0,85.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20030,장원준,한국,28.0,1985.0,7.0,31.0,Pitcher,Left,False,Left,184.0,85.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20031,정근우,한국,8.0,1982.0,10.0,2.0,Infielder,Right,False,Right,172.0,80.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20032,정대현,한국,38.0,1978.0,11.0,10.0,Pitcher,Right,False,Right,184.0,104.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20033,정우람,한국,57.0,1985.0,6.0,1.0,Pitcher,Left,False,Left,181.0,82.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20034,조무근,한국,67.0,1991.0,9.0,26.0,Pitcher,Right,False,Right,198.0,116.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20035,조상우,한국,42.0,1994.0,9.0,4.0,Pitcher,Right,False,Right,186.0,97.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20036,차우찬,한국,23.0,1987.0,5.0,31.0,Pitcher,Left,False,Left,184.0,74.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20038,허경민,한국,14.0,1990.0,8.0,26.0,Infielder,Right,False,Right,176.0,69.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20040,황재균,한국,16.0,1987.0,7.0,28.0,Infielder,Right,False,Right,183.0,90.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20041,구리엘,쿠바,19.0,1993.0,10.0,10.0,Outfielder,Right,False,Right,192.0,83.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20042,구리엘,쿠바,10.0,1984.0,6.0,9.0,Infielder,Right,False,Right,184.0,89.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20043,구리엘,쿠바,20.0,1982.0,2.0,17.0,Infielder,Right,False,Right,182.0,83.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20044,가르시아,쿠바,99.0,1981.0,2.0,23.0,Pitcher,Right,False,Right,189.0,85.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20045,곤잘레스,쿠바,33.0,1979.0,10.0,10.0,Pitcher,Left,False,Left,184.0,98.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20046,그라시알,쿠바,47.0,1985.0,10.0,14.0,Infielder,Right,False,Right,185.0,88.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20047,데스파이그네,쿠바,54.0,1986.0,6.0,17.0,Outfielder,Right,False,Right,175.0,95.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20048,레이에스,쿠바,50.0,1979.0,11.0,5.0,Infielder,Right,False,Right,190.0,95.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20049,마르티네스,쿠바,27.0,1978.0,6.0,22.0,Pitcher,Right,False,Right,181.0,84.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20050,마르티네스,쿠바,71.0,1996.0,3.0,21.0,Outfielder,Left,False,Left,173.0,73.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20051,만둘레이,쿠바,42.0,1986.0,2.0,9.0,Infielder,Right,False,Right,175.0,78.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20052,마예타,쿠바,55.0,1977.0,2.0,22.0,Infielder,Left,False,Left,186.0,100.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20053,멘도사,쿠바,34.0,1994.0,5.0,3.0,Pitcher,Right,False,Right,190.0,80.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20054,모레혼,쿠바,45.0,1986.0,1.0,25.0,Catcher,Right,False,Right,176.0,90.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20055,모이넬로,쿠바,89.0,1995.0,12.0,8.0,Pitcher,Left,False,Left,178.0,69.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20056,몬티에트,쿠바,28.0,1985.0,1.0,11.0,Pitcher,Right,False,Right,185.0,91.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20057,바스케스,쿠바,31.0,1990.0,5.0,20.0,Catcher,Right,False,Right,175.0,105.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20058,베탄쿠르트,쿠바,53.0,1981.0,5.0,27.0,Pitcher,Right,False,Right,181.0,85.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20059,보로토,쿠바,35.0,1965.0,2.0,6.0,Infielder,Right,False,Right,177.0,90.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20061,산토야,쿠바,24.0,1987.0,1.0,24.0,Infielder,Right,False,Right,187.0,85.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20062,알라르콘,쿠바,11.0,1984.0,10.0,15.0,Catcher,Right,False,Right,187.0,95.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20063,알바레스,쿠바,15.0,1989.0,4.0,29.0,Pitcher,Right,False,Right,182.0,99.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20064,에르난데스,쿠바,18.0,1982.0,7.0,17.0,Outfielder,Left,False,Left,185.0,94.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20065,예라,쿠바,58.0,1989.0,10.0,18.0,Pitcher,Left,False,Left,170.0,75.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20066,카노,쿠바,29.0,1994.0,3.0,9.0,Pitcher,Right,False,Right,184.0,80.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20067,크루스,쿠바,51.0,1979.0,5.0,28.0,Pitcher,Right,False,Right,190.0,91.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20068,토레스,쿠바,56.0,1980.0,6.0,14.0,Pitcher,Right,False,Right,190.0,105.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20069,강민호,한국,47.0,1985.0,8.0,18.0,Catcher,Right,False,Right,186.0,100.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20071,마에다,일본,18.0,1988.0,4.0,11.0,Pitcher,Right,False,Right,182.0,81.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20072,마키타,일본,35.0,1984.0,11.0,10.0,Pitcher,Right,False,Right,177.0,83.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20073,마스이,일본,19.0,1984.0,6.0,26.0,Pitcher,Right,False,Right,181.0,70.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20074,마츠이,일본,10.0,1995.0,10.0,30.0,Pitcher,Left,False,Left,174.0,74.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20075,니시,일본,21.0,1990.0,11.0,10.0,Pitcher,Right,False,Right,181.0,80.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20076,노리모토,일본,14.0,1990.0,12.0,17.0,Pitcher,Right,False,Left,178.0,82.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20077,오노,일본,22.0,1988.0,9.0,26.0,Pitcher,Left,False,Left,183.0,78.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20078,오타니,일본,16.0,1994.0,7.0,5.0,Pitcher,Right,False,Left,193.0,90.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20079,사와무라,일본,15.0,1988.0,4.0,3.0,Pitcher,Right,False,Right,183.0,98.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20080,스가노,일본,11.0,1989.0,10.0,11.0,Pitcher,Right,False,Right,185.0,90.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20081,다케다,일본,30.0,1993.0,4.0,3.0,Pitcher,Right,False,Right,186.0,85.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20082,야마자키,일본,24.0,1992.0,10.0,2.0,Pitcher,Right,False,Right,177.0,83.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20083,오가와,일본,29.0,1990.0,5.0,16.0,Pitcher,Right,False,Right,171.0,80.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20084,나카무라,일본,52.0,1990.0,6.0,17.0,Catcher,Right,False,Right,176.0,83.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20085,시마,일본,37.0,1984.0,12.0,13.0,Catcher,Right,False,Right,179.0,82.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20086,스미타니,일본,27.0,1987.0,7.0,19.0,Catcher,Right,False,Right,180.0,93.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20087,가와바타,일본,5.0,1987.0,10.0,16.0,Infielder,Right,False,Left,185.0,86.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20088,마츠다,일본,3.0,1983.0,5.0,17.0,Infielder,Right,False,Right,180.0,89.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20089,나카무라,일본,60.0,1983.0,8.0,15.0,Infielder,Right,False,Right,175.0,102.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20090,나카시마,일본,9.0,1991.0,1.0,11.0,Infielder,Right,False,Left,176.0,70.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20091,나카타,일본,13.0,1989.0,4.0,22.0,Infielder,Right,False,Right,183.0,100.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20092,사카모토,일본,6.0,1988.0,12.0,14.0,Infielder,Right,False,Right,186.0,83.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20093,야마다,일본,23.0,1992.0,7.0,16.0,Infielder,Right,False,Right,180.0,76.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20094,아키야마,일본,55.0,1988.0,4.0,16.0,Outfielder,Right,False,Left,183.0,85.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20095,히라타,일본,8.0,1988.0,3.0,23.0,Outfielder,Right,False,Right,177.0,88.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20096,츠츠고,일본,25.0,1991.0,11.0,26.0,Outfielder,Right,False,Left,185.0,97.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20097,나카무라,일본,7.0,1989.0,11.0,5.0,Outfielder,Left,False,Left,175.0,82.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20098,이마미야,일본,2.0,1991.0,7.0,15.0,Outfielder,Right,False,Right,172.0,68.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20099,배럿,미국,22.0,1991.0,6.0,22.0,Pitcher,Right,False,Right,0.0,0.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20100,처치,미국,37.0,1986.0,4.0,11.0,Pitcher,Right,False,Right,0.0,0.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20101,콜먼,미국,5.0,1987.0,7.0,3.0,Pitcher,Right,False,Left,0.0,0.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20102,데나토,미국,45.0,1992.0,3.0,17.0,Pitcher,Left,False,Left,0.0,0.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20103,이브랜드,미국,36.0,1983.0,10.0,29.0,Pitcher,Left,False,Left,0.0,0.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20104,포사이스,미국,50.0,1990.0,9.0,17.0,Pitcher,Left,False,Left,0.0,0.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20105,그루브,미국,34.0,1981.0,5.0,11.0,Pitcher,Right,False,Right,0.0,0.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20106,래피,미국,32.0,1985.0,4.0,15.0,Pitcher,Left,False,Left,0.0,0.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20107,파운더스,미국,35.0,1990.0,9.0,26.0,Pitcher,Right,False,Right,0.0,0.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20108,새터와이트,미국,55.0,1987.0,1.0,27.0,Pitcher,Right,False,Right,0.0,0.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20109,세고비아,미국,40.0,1983.0,4.0,11.0,Pitcher,Right,False,Right,0.0,0.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20110,시먼스,미국,17.0,1988.0,6.0,14.0,Pitcher,Right,False,Right,0.0,0.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20111,스프루일,미국,18.0,1989.0,9.0,11.0,Pitcher,Right,False,Right,0.0,0.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20112,바스케스,미국,15.0,1986.0,9.0,19.0,Pitcher,Left,False,Left,0.0,0.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20113,웬델켄,미국,14.0,1993.0,3.0,24.0,Pitcher,Right,False,Right,0.0,0.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20114,윌커슨,미국,31.0,1989.0,5.0,24.0,Pitcher,Right,False,Right,0.0,0.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20115,모린,미국,21.0,1991.0,2.0,7.0,Catcher,Right,False,Left,0.0,0.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20116,롤핑,미국,26.0,1989.0,12.0,2.0,Catcher,Right,False,Right,0.0,0.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20117,댄블랙,미국,44.0,1987.0,2.0,7.0,Infielder,Right,False,양타,0.0,0.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20118,프레이저,미국,2.0,1991.0,12.0,14.0,Infielder,Left,False,Right,0.0,0.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20119,마틴,미국,27.0,1992.0,11.0,13.0,Infielder,Left,False,Left,0.0,0.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20120,패스토니키,미국,8.0,1989.0,12.0,13.0,Infielder,Right,False,Right,0.0,0.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20121,스클라파니,미국,7.0,1990.0,4.0,22.0,Infielder,Right,False,양타,0.0,0.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20122,소토,미국,4.0,1989.0,8.0,21.0,Infielder,Right,False,Right,0.0,0.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20123,아이브너,미국,9.0,1988.0,2.0,12.0,Outfielder,Right,False,Right,0.0,0.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20124,메이,미국,3.0,1992.0,1.0,23.0,Outfielder,Right,False,양타,0.0,0.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20125,맥브라이드,미국,19.0,1985.0,5.0,23.0,Outfielder,Right,False,Right,0.0,0.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20126,필립스,미국,6.0,1994.0,5.0,30.0,Outfielder,Right,False,Left,0.0,0.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20127,카브레라,도미니카,32.0,1981.0,5.0,28.0,Pitcher,Right,False,Right,0.0,0.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20128,아라우호,도미니카,10.0,1987.0,11.0,2.0,Pitcher,Right,False,Right,0.0,0.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20129,크루스,도미니카,17.0,1981.0,6.0,15.0,Pitcher,Right,False,Right,0.0,0.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20130,데폴라,도미니카,42.0,1982.0,12.0,31.0,Pitcher,Right,False,Right,0.0,0.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20131,페르민,도미니카,29.0,1985.0,11.0,2.0,Pitcher,Right,False,Right,0.0,0.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20132,마테오,도미니카,45.0,1989.0,7.0,27.0,Pitcher,Right,False,Right,0.0,0.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20133,모리요,도미니카,39.0,1983.0,11.0,5.0,Pitcher,Right,False,Right,0.0,0.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20134,파잠프스,도미니카,37.0,1994.0,4.0,7.0,Pitcher,Right,False,Right,0.0,0.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20135,페레스,도미니카,47.0,1985.0,1.0,20.0,Pitcher,Left,False,Left,0.0,0.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20136,로드리게스,도미니카,49.0,1991.0,6.0,6.0,Pitcher,Right,False,Right,0.0,0.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20137,론돈,도미니카,48.0,1988.0,4.0,19.0,Pitcher,Left,False,Left,0.0,0.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
20138,시렛트,도미니카,51.0,1988.0,12.0,15.0,Pitcher,Right,False,Right,0.0,0.0,,,,,,,,,,,"Contract Payment (14, 15):    Salary (16, 17):    Draft (18, 19, 20):    Join (21, 22):    "
